name,serial,title,title score,firstName,name score,location,location score,length score,combo score,total score
Geomancer Bathsheba of the Villa,572,Geomancer,1.31,Bathsheba,0.46,Villa,0.53,0.48,0.37,3.15
Necromancer Isaac of the Field,3317,Necromancer,1.34,Isaac,0.39,Field,0.56,0.48,0.37,3.15
Arch-Magician Gully of the Cosmos,1961,Arch-Magician,0.66,Gully,1.24,Cosmos,0.39,0.48,0.37,3.15
Illusionist Astrid of the Havens,4442,Illusionist,1.19,Astrid,0.64,Havens,0.46,0.48,0.37,3.15
Charmer Astrid of the Moors,6699,Charmer,1.20,Astrid,0.64,Moors,0.45,0.48,0.37,3.14
Druid Anton of the Forest,5062,Druid,0.54,Anton,1.11,Forest,0.64,0.48,0.37,3.14
Pyromancer Hagar of the Court,5220,Pyromancer,1.02,Hagar,0.31,Court,0.96,0.48,0.37,3.14
Geomancer Samuel of the Valley,2792,Geomancer,1.31,Samuel,0.68,Valley,0.30,0.48,0.37,3.14
Cleric Udor of the Grotto,8378,Cleric,1.56,Udor,0.33,Grotto,0.39,0.48,0.37,3.14
Thaumaturge Daria of the Hollow,2626,Thaumaturge,1.60,Daria,0.26,Hollow,0.42,0.48,0.37,3.14
Enchanter Oxnard of the Marsh,335,Enchanter,0.35,Oxnard,1.62,Marsh,0.31,0.48,0.37,3.14
Enchanter Zorko of the Marsh,1889,Enchanter,0.35,Zorko,1.62,Marsh,0.31,0.48,0.37,3.14
Archmagus Zaros of the Thorn,5038,Archmagus,0.16,Zaros,0.44,Thorn,1.69,0.48,0.37,3.14
Enchanter Marceline of the Villa,1424,Enchanter,0.35,Marceline,1.40,Villa,0.53,0.48,0.37,3.14
Druid Rodolfo of Mu,1441,Druid,0.54,Rodolfo,0.78,Mu,0.97,0.48,0.37,3.14
Battle Mage Darick of the Temple,3630,Battle Mage,0.30,Darick,1.00,Temple,0.98,0.48,0.37,3.14
Artificer Adium of the Mount,5224,Artificer,0.58,Adium,1.40,Mount,0.30,0.48,0.37,3.14
Charmer Arabella of the Sun,2294,Charmer,1.20,Arabella,0.54,Sun,0.54,0.48,0.37,3.14
Arch-Magician Aleister of the Bibliotheca,1680,Arch-Magician,0.66,Aleister,0.11,Bibliotheca,1.51,0.48,0.37,3.14
Sorcerer Kazem of the Sands,8327,Sorcerer,0.30,Kazem,0.92,Sands,1.07,0.48,0.37,3.14
Shaman Liliana of the Sun,2867,Shaman,0.57,Liliana,1.17,Sun,0.54,0.48,0.37,3.14
Shaman Thor of the Obelisk,3312,Shaman,0.57,Thor,0.73,Obelisk,0.98,0.48,0.37,3.14
Sorcerer Nadeem of the Citadel,3376,Sorcerer,0.30,Nadeem,1.32,Citadel,0.67,0.48,0.37,3.14
Hedge Wizard Florah of the Wood,7983,Hedge Wizard,0.47,Florah,1.62,Wood,0.19,0.48,0.37,3.14
Arch-Magician Nixie of the Moors,2172,Arch-Magician,0.66,Nixie,1.17,Moors,0.45,0.48,0.37,3.14
Witch Sabina of the Hollow,2102,Witch,0.61,Sabina,1.24,Hollow,0.42,0.48,0.37,3.14
Witch Sabina of the Hollow,8752,Witch,0.61,Sabina,1.24,Hollow,0.42,0.48,0.37,3.14
Sage Horace of the Plains,8003,Sage,0.66,Horace,1.24,Plains,0.38,0.48,0.37,3.14
Cleric Ofaris of the Cosmos,3571,Cleric,1.56,Ofaris,0.33,Cosmos,0.39,0.48,0.37,3.14
Pyromancer Aldus of Mu,6600,Pyromancer,1.02,Aldus,0.29,Mu,0.97,0.48,0.37,3.13
Hedge Wizard Trollin of the Valley,8753,Hedge Wizard,0.47,Trollin,1.50,Valley,0.30,0.48,0.37,3.13
Shaman Pezo of the Cosmos,7671,Shaman,0.57,Pezo,1.32,Cosmos,0.39,0.48,0.37,3.13
Druid Ozohr of the Morning Star,3815,Druid,0.54,Ozohr,0.37,Morning Star,1.37,0.48,0.37,3.13
Archmagus Ravana of the Light,638,Archmagus,0.16,Ravana,1.11,Light,1.01,0.48,0.37,3.13
Sage Remus of the Platonic Shadow,3724,Sage,0.66,Remus,0.46,Platonic Shadow,1.15,0.48,0.37,3.13
Sorcerer Salah of the Sacred Pillars,6893,Sorcerer,0.30,Salah,1.40,Sacred Pillars,0.57,0.48,0.37,3.13
Conjurer Artis of the Brambles,1619,Conjurer,1.49,Artis,0.38,Brambles,0.40,0.48,0.37,3.13
Geomancer Milton of the Realm,7141,Geomancer,1.31,Milton,0.29,Realm,0.68,0.48,0.37,3.13
Sage Zane of Elysium,3355,Sage,0.66,Zane,0.70,Elysium,0.91,0.48,0.37,3.13
Shaman Jean Leon of the Keep,2039,Shaman,0.57,Jean Leon,1.40,Keep,0.30,0.48,0.37,3.13
Charmer Diana of the Wold,8274,Charmer,1.20,Diana,0.51,Wold,0.55,0.48,0.37,3.13
Cleric Angus of the Mist,6833,Cleric,1.56,Angus,0.21,Mist,0.50,0.48,0.37,3.13
Arcanist Blaise of the Quantum Downs,5685,Arcanist,0.69,Blaise,0.57,Quantum Downs,1.01,0.48,0.37,3.13
Alchemist Sonja of the Quantum Downs,4185,Alchemist,0.38,Sonja,0.88,Quantum Downs,1.01,0.48,0.37,3.13
Illusionist Gunthor of the Hollow,4552,Illusionist,1.19,Gunthor,0.66,Hollow,0.42,0.48,0.37,3.13
Sage Zubin of Mu,8462,Sage,0.66,Zubin,0.64,Mu,0.97,0.48,0.37,3.13
Adept Basil of the Belfry,4281,Adept,0.84,Basil,0.36,Belfry,1.07,0.48,0.37,3.13
Battle Mage Luther of Mu,1436,Battle Mage,0.30,Luther,1.00,Mu,0.97,0.48,0.37,3.13
Runecaster Sondra of the Brambles,2115,Runecaster,1.44,Sondra,0.43,Brambles,0.40,0.48,0.37,3.13
Mystic Tundror of the Palms,9961,Mystic,1.15,Tundror,0.45,Palms,0.67,0.48,0.37,3.13
Mystic Faiz of the Steppe,9411,Mystic,1.15,Faiz,0.78,Steppe,0.33,0.48,0.37,3.13
Charmer Cybele of the Marsh,8605,Charmer,1.20,Cybele,0.75,Marsh,0.31,0.48,0.37,3.12
Archmagus Cedric of the Tower,8900,Archmagus,0.16,Cedric,1.75,Tower,0.36,0.48,0.37,3.12
Geomancer Isaac of the Sacred Pillars,8770,Geomancer,1.31,Isaac,0.39,Sacred Pillars,0.57,0.48,0.37,3.12
Necromancer Shivra of the Marsh,431,Necromancer,1.34,Shivra,0.62,Marsh,0.31,0.48,0.37,3.12
Artificer Ozohr of the Sea,3743,Artificer,0.58,Ozohr,0.37,Sea,1.32,0.48,0.37,3.12
Hydromancer Angus of the Wood,8540,Hydromancer,1.87,Angus,0.21,Wood,0.19,0.48,0.37,3.12
Mystic Pumlo of the Sacred Pillars,4816,Mystic,1.15,Pumlo,0.54,Sacred Pillars,0.57,0.48,0.37,3.12
Runecaster Axel of the Valley,5139,Runecaster,1.44,Axel,0.53,Valley,0.30,0.48,0.37,3.12
Shaman Brown Cow of the Wood,2030,Shaman,0.57,Brown Cow,1.50,Wood,0.19,0.48,0.37,3.12
Thaumaturge Rita of the Brambles,5673,Thaumaturge,1.60,Rita,0.26,Brambles,0.40,0.48,0.37,3.12
Magus Dutorn of the Obelisk,8106,Magus,0.37,Dutorn,0.92,Obelisk,0.98,0.48,0.37,3.12
Runecaster Milton of the Sun,1972,Runecaster,1.44,Milton,0.29,Sun,0.54,0.48,0.37,3.12
Enchanter Atlanta of the Morning Star,5147,Enchanter,0.35,Atlanta,0.54,Morning Star,1.37,0.48,0.37,3.12
Sorcerer Zafar of the Havens,121,Sorcerer,0.30,Zafar,1.50,Havens,0.46,0.48,0.37,3.12
Sorcerer Hashim of the Havens,8491,Sorcerer,0.30,Hashim,1.50,Havens,0.46,0.48,0.37,3.12
Adept Taqi of the Marsh,5467,Adept,0.84,Taqi,1.11,Marsh,0.31,0.48,0.37,3.12
Druid Zeromus of the Desert,2956,Druid,0.54,Zeromus,1.40,Desert,0.32,0.48,0.37,3.12
Charmer Asphodel of the Brambles,9281,Charmer,1.20,Asphodel,0.66,Brambles,0.40,0.48,0.37,3.12
Runecaster Tundror of the Plains,7006,Runecaster,1.44,Tundror,0.45,Plains,0.38,0.48,0.37,3.12
Runecaster Eden of the Ether,9824,Runecaster,1.44,Eden,0.27,Ether,0.55,0.48,0.37,3.12
Witch Hagatha of the Sun,3494,Witch,0.61,Hagatha,1.11,Sun,0.54,0.48,0.37,3.12
Sage Ursula of the Hills,3481,Sage,0.66,Ursula,1.24,Hills,0.36,0.48,0.37,3.12
Arch-Magician Gary of the Wild,5026,Arch-Magician,0.66,Gary,1.00,Wild,0.60,0.48,0.37,3.12
Battle Mage Cromwell of the Thorn,2009,Battle Mage,0.30,Cromwell,0.27,Thorn,1.69,0.48,0.37,3.12
Mystic Danny of the River,5460,Mystic,1.15,Danny,0.46,River,0.65,0.48,0.37,3.12
Adept Kazem of the Mist,8955,Adept,0.84,Kazem,0.92,Mist,0.50,0.48,0.37,3.12
Geomancer Rowena of the Ether,2361,Geomancer,1.31,Rowena,0.40,Ether,0.55,0.48,0.37,3.12
Archmagus Norix of the Wood,4562,Archmagus,0.16,Norix,1.91,Wood,0.19,0.48,0.37,3.12
Thaumaturge Basil of the Mount,646,Thaumaturge,1.60,Basil,0.36,Mount,0.30,0.48,0.37,3.12
Battle Mage Otto of Elysium,4344,Battle Mage,0.30,Otto,1.05,Elysium,0.91,0.48,0.37,3.12
Shaman Beyna in the Shadows,528,Shaman,0.57,Beyna,0.58,Shadows,1.10,0.48,0.37,3.12
Mystic Godfrey of the Wood,5692,Mystic,1.15,Godfrey,0.92,Wood,0.19,0.48,0.37,3.12
Pyromancer Eizo of the Field,9990,Pyromancer,1.02,Eizo,0.68,Field,0.56,0.48,0.37,3.12
Runecaster Ixar of the Ether,6609,Runecaster,1.44,Ixar,0.27,Ether,0.55,0.48,0.37,3.12
Shaman Ravana of the Bastion,5664,Shaman,0.57,Ravana,1.11,Bastion,0.58,0.48,0.37,3.12
Geomancer Shivra of the Steppe,9000,Geomancer,1.31,Shivra,0.62,Steppe,0.33,0.48,0.37,3.12
Mystic Atlanta of the Field,495,Mystic,1.15,Atlanta,0.54,Field,0.56,0.48,0.37,3.12
Charmer Cybele of the Mount,8707,Charmer,1.20,Cybele,0.75,Mount,0.30,0.48,0.37,3.11
Charmer Bathsheba of the Wild,6288,Charmer,1.20,Bathsheba,0.46,Wild,0.60,0.48,0.37,3.11
Pyromancer Impy of the Sun,6448,Pyromancer,1.02,Impy,0.70,Sun,0.54,0.48,0.37,3.11
Arch-Magician Enigma of the Wood,624,Arch-Magician,0.66,Enigma,1.40,Wood,0.19,0.48,0.37,3.11
Magus Elena of the River,9626,Magus,0.37,Elena,1.24,River,0.65,0.48,0.37,3.11
Illusionist Diana of the Wold,1837,Illusionist,1.19,Diana,0.51,Wold,0.55,0.48,0.37,3.11
Witch Lilith of the Brambles,4897,Witch,0.61,Lilith,1.24,Brambles,0.40,0.48,0.37,3.11
Witch Sabina of the Brambles,5254,Witch,0.61,Sabina,1.24,Brambles,0.40,0.48,0.37,3.11
Magus Merlon of the Thorn,5471,Magus,0.37,Merlon,0.20,Thorn,1.69,0.48,0.37,3.11
Arcanist Poppy of the Canyon,3699,Arcanist,0.69,Poppy,0.84,Canyon,0.72,0.48,0.37,3.11
Runecaster Eden of the Veil,6527,Runecaster,1.44,Eden,0.27,Veil,0.54,0.48,0.37,3.11
Arch-Magician Edge of the Sun,685,Arch-Magician,0.66,Edge,1.05,Sun,0.54,0.48,0.37,3.11
Arch-Magician Ilyas of the Sun,8764,Arch-Magician,0.66,Ilyas,1.05,Sun,0.54,0.48,0.37,3.11
Battle Mage Eric of the Morning Star,8310,Battle Mage,0.30,Eric,0.58,Morning Star,1.37,0.48,0.37,3.11
Shaman Ravana of the Sacred Pillars,9295,Shaman,0.57,Ravana,1.11,Sacred Pillars,0.57,0.48,0.37,3.11
Sage Ulysse in the Shadows,7799,Sage,0.66,Ulysse,0.49,Shadows,1.10,0.48,0.37,3.11
Cleric Jeldor of the Hall,4111,Cleric,1.56,Jeldor,0.38,Hall,0.31,0.48,0.37,3.11
Sorcerer Idris of the Capital,5014,Sorcerer,0.30,Idris,1.32,Capital,0.64,0.48,0.37,3.11
Pyromancer Sylvia of the Bastion,8979,Pyromancer,1.02,Sylvia,0.66,Bastion,0.58,0.48,0.37,3.11
Arcanist Luther of the Wold,2081,Arcanist,0.69,Luther,1.00,Wold,0.55,0.48,0.37,3.11
Magus Elena of the Forest,1355,Magus,0.37,Elena,1.24,Forest,0.64,0.48,0.37,3.11
Archmagus Orpheus from the Shadow,2002,Archmagus,0.16,Orpheus,0.51,Shadow,1.58,0.48,0.37,3.11
Alchemist Uday of the Dunes,2759,Alchemist,0.38,Uday,1.11,Dunes,0.76,0.48,0.37,3.11
Sorcerer Ramiz of the Oasis,5729,Sorcerer,0.30,Ramiz,1.17,Oasis,0.78,0.48,0.37,3.11
Witch Lilith of the Grotto,6431,Witch,0.61,Lilith,1.24,Grotto,0.39,0.48,0.37,3.11
Witch Gwendolin of the Heath,4290,Witch,0.61,Gwendolin,1.17,Heath,0.46,0.48,0.37,3.10
Sorcerer Ozohr from the Shadow,7685,Sorcerer,0.30,Ozohr,0.37,Shadow,1.58,0.48,0.37,3.10
Pyromancer Faye of the Mountain,9821,Pyromancer,1.02,Faye,0.62,Mountain,0.61,0.48,0.37,3.10
Charmer Devon of the Field,6401,Charmer,1.20,Devon,0.48,Field,0.56,0.48,0.37,3.10
Archmagus Cedric of the Steppe,4873,Archmagus,0.16,Cedric,1.75,Steppe,0.33,0.48,0.37,3.10
Shaman Talbot of the Mist,1573,Shaman,0.57,Talbot,1.17,Mist,0.50,0.48,0.37,3.10
Battle Mage Talon of the Sands,9756,Battle Mage,0.30,Talon,0.88,Sands,1.07,0.48,0.37,3.10
Runecaster Soya of the Bastion,1455,Runecaster,1.44,Soya,0.23,Bastion,0.58,0.48,0.37,3.10
Hedge Wizard Lin of the Canyon,4131,Hedge Wizard,0.47,Lin,1.05,Canyon,0.72,0.48,0.37,3.10
Enchanter Willow of the Canyon,6125,Enchanter,0.35,Willow,1.17,Canyon,0.72,0.48,0.37,3.10
Shaman Caligula of the Belfry,4617,Shaman,0.57,Caligula,0.60,Belfry,1.07,0.48,0.37,3.10
Arcanist Eliphas of the Hall,1185,Arcanist,0.69,Eliphas,1.24,Hall,0.31,0.48,0.37,3.10
Adept Soran of Xanadu,3384,Adept,0.84,Soran,0.43,Xanadu,0.97,0.48,0.37,3.10
Charmer Galatea of the Hills,3221,Charmer,1.20,Galatea,0.68,Hills,0.36,0.48,0.37,3.10
Alchemist Fark of the Veil,188,Alchemist,0.38,Fark,1.32,Veil,0.54,0.48,0.37,3.10
Witch Jahid in the Shadows,5308,Witch,0.61,Jahid,0.53,Shadows,1.10,0.48,0.37,3.10
Thaumaturge Celah of the Hall,7574,Thaumaturge,1.60,Celah,0.33,Hall,0.31,0.48,0.37,3.10
Sorcerer Rafiq of the Desert,4234,Sorcerer,0.30,Rafiq,1.62,Desert,0.32,0.48,0.37,3.10
Charmer Mina of the Hall,3631,Charmer,1.20,Mina,0.73,Hall,0.31,0.48,0.37,3.10
Witch Sylvia of Xanadu,5887,Witch,0.61,Sylvia,0.66,Xanadu,0.97,0.48,0.37,3.10
Artificer Sabina of the Hollow,4798,Artificer,0.58,Sabina,1.24,Hollow,0.42,0.48,0.37,3.10
Arcanist Allistair of the Fey,3693,Arcanist,0.69,Allistair,0.41,Fey,1.14,0.48,0.37,3.10
Druid Enigma of the Valley,3676,Druid,0.54,Enigma,1.40,Valley,0.30,0.48,0.37,3.10
Witch Ivy of the Sacred Pillars,2753,Witch,0.61,Ivy,1.05,Sacred Pillars,0.57,0.48,0.37,3.10
Archmagus Adium of the Realm,1321,Archmagus,0.16,Adium,1.40,Realm,0.68,0.48,0.37,3.10
Archmagus Gellert of the Havens,9869,Archmagus,0.16,Gellert,1.62,Havens,0.46,0.48,0.37,3.10
Illusionist Diana of the Sun,6057,Illusionist,1.19,Diana,0.51,Sun,0.54,0.48,0.37,3.10
Charmer Bathsheba of the Bastion,5504,Charmer,1.20,Bathsheba,0.46,Bastion,0.58,0.48,0.37,3.10
Druid Duzzle of the Cosmos,4813,Druid,0.54,Duzzle,1.32,Cosmos,0.39,0.48,0.37,3.10
Cleric Amir of the Tower,9712,Cleric,1.56,Amir,0.32,Tower,0.36,0.48,0.37,3.09
Charmer Devon of the Wold,9790,Charmer,1.20,Devon,0.48,Wold,0.55,0.48,0.37,3.09
Sage Cairon of the Fey,1772,Sage,0.66,Cairon,0.44,Fey,1.14,0.48,0.37,3.09
Sorcerer Ali of the Obelisk,5382,Sorcerer,0.30,Ali,0.96,Obelisk,0.98,0.48,0.37,3.09
Shadow Mage Iprix of the Keep,7954,Shadow Mage,1.54,Iprix,0.40,Keep,0.30,0.48,0.37,3.09
Mystic Cassius of the Brambles,7491,Mystic,1.15,Cassius,0.68,Brambles,0.40,0.48,0.37,3.09
Hedge Wizard Enigma of the Hills,250,Hedge Wizard,0.47,Enigma,1.40,Hills,0.36,0.48,0.37,3.09
Sage Sabina of the Steppe,4350,Sage,0.66,Sabina,1.24,Steppe,0.33,0.48,0.37,3.09
Charmer Beyna of the Moors,8973,Charmer,1.20,Beyna,0.58,Moors,0.45,0.48,0.37,3.09
Pyromancer Artis of the Rock,2402,Pyromancer,1.02,Artis,0.38,Rock,0.84,0.48,0.37,3.09
Alchemist Eronin of the Mountain,7029,Alchemist,0.38,Eronin,1.24,Mountain,0.61,0.48,0.37,3.09
Hedge Wizard Qasim of the Obelisk,8099,Hedge Wizard,0.47,Qasim,0.78,Obelisk,0.98,0.48,0.37,3.09
Magus Brown Cow of the Hills,4963,Magus,0.37,Brown Cow,1.50,Hills,0.36,0.48,0.37,3.09
Hedge Wizard Salah of the Tower,3431,Hedge Wizard,0.47,Salah,1.40,Tower,0.36,0.48,0.37,3.09
Witch Lilith of the Plains,1387,Witch,0.61,Lilith,1.24,Plains,0.38,0.48,0.37,3.09
Witch Sabina of the Plains,4932,Witch,0.61,Sabina,1.24,Plains,0.38,0.48,0.37,3.09
Geomancer Hothor of the Moors,3230,Geomancer,1.31,Hothor,0.48,Moors,0.45,0.48,0.37,3.09
Archmagus Onaxx of the Dunes,9865,Archmagus,0.16,Onaxx,1.32,Dunes,0.76,0.48,0.37,3.09
Archmagus Jeldor of the Thorn,5517,Archmagus,0.16,Jeldor,0.38,Thorn,1.69,0.48,0.37,3.09
Charmer Sondra of the Wild,8947,Charmer,1.20,Sondra,0.43,Wild,0.60,0.48,0.37,3.09
Witch Sylvia of the Court,8493,Witch,0.61,Sylvia,0.66,Court,0.96,0.48,0.37,3.09
Archmagus Remus of the Carnival,6446,Archmagus,0.16,Remus,0.46,Carnival,1.61,0.48,0.37,3.09
Shaman Udor of the Sea,523,Shaman,0.57,Udor,0.33,Sea,1.32,0.48,0.37,3.09
Pyromancer Milo of the Toadstools,6551,Pyromancer,1.02,Milo,0.28,Toadstools,0.93,0.48,0.37,3.09
Magus Ambrosia of the Tower,1070,Magus,0.37,Ambrosia,1.50,Tower,0.36,0.48,0.37,3.09
Magus Wazir of the Tower,3348,Magus,0.37,Wazir,1.50,Tower,0.36,0.48,0.37,3.09
Mystic Wolfram of the Sacred Pillars,7273,Mystic,1.15,Wolfram,0.50,Sacred Pillars,0.57,0.48,0.37,3.09
Arch-Magician Quddus of the Grotto,9266,Arch-Magician,0.66,Quddus,1.17,Grotto,0.39,0.48,0.37,3.09
Archmagus Adium of the Citadel,4619,Archmagus,0.16,Adium,1.40,Citadel,0.67,0.48,0.37,3.08
Archmagus Salah of the Palms,6373,Archmagus,0.16,Salah,1.40,Palms,0.67,0.48,0.37,3.08
Hedge Wizard Moloch of the Reach,679,Hedge Wizard,0.47,Moloch,0.96,Reach,0.80,0.48,0.37,3.08
Arcanist Eliphas of the Keep,2600,Arcanist,0.69,Eliphas,1.24,Keep,0.30,0.48,0.37,3.08
Artificer Pezo of the Steppe,3269,Artificer,0.58,Pezo,1.32,Steppe,0.33,0.48,0.37,3.08
Alchemist Idris of the Villa,6710,Alchemist,0.38,Idris,1.32,Villa,0.53,0.48,0.37,3.08
Druid Aldo of El Dorado,5644,Druid,0.54,Aldo,0.96,El Dorado,0.73,0.48,0.37,3.08
Witch Lamia of the Platonic Shadow,7675,Witch,0.61,Lamia,0.46,Platonic Shadow,1.15,0.48,0.37,3.08
Runecaster Amir of the Havens,7106,Runecaster,1.44,Amir,0.32,Havens,0.46,0.48,0.37,3.08
Conjurer Eden of the Heath,9498,Conjurer,1.49,Eden,0.27,Heath,0.46,0.48,0.37,3.08
Illusionist Mina of the Hall,5618,Illusionist,1.19,Mina,0.73,Hall,0.31,0.48,0.37,3.08
Sage Bartholomew of the Rock,1229,Sage,0.66,Bartholomew,0.73,Rock,0.84,0.48,0.37,3.08
Archmagus Zafar of the Field,6450,Archmagus,0.16,Zafar,1.50,Field,0.56,0.48,0.37,3.08
Druid Cassius of the Light,9071,Druid,0.54,Cassius,0.68,Light,1.01,0.48,0.37,3.08
Conjurer Solomon of the Hollow,6557,Conjurer,1.49,Solomon,0.31,Hollow,0.42,0.48,0.37,3.08
Archmagus Jig of the Marsh,884,Archmagus,0.16,Jig,1.75,Marsh,0.31,0.48,0.37,3.08
Druid Shivra of the Belfry,8552,Druid,0.54,Shivra,0.62,Belfry,1.07,0.48,0.37,3.08
Mystic Ofaris of El Dorado,4249,Mystic,1.15,Ofaris,0.33,El Dorado,0.73,0.48,0.37,3.08
Archmagus Hecate of the Moors,315,Archmagus,0.16,Hecate,1.62,Moors,0.45,0.48,0.37,3.08
Thaumaturge Daria of the Hills,370,Thaumaturge,1.60,Daria,0.26,Hills,0.36,0.48,0.37,3.08
Geomancer Mina of the Wood,4961,Geomancer,1.31,Mina,0.73,Wood,0.19,0.48,0.37,3.08
Conjurer Sondra of the Valley,8553,Conjurer,1.49,Sondra,0.43,Valley,0.30,0.48,0.37,3.08
Arch-Magician Atlas of the Realm,1189,Arch-Magician,0.66,Atlas,0.88,Realm,0.68,0.48,0.37,3.08
Hedge Wizard Samuel of the Sands,8448,Hedge Wizard,0.47,Samuel,0.68,Sands,1.07,0.48,0.37,3.08
Sorcerer Zorko of the Mount,7964,Sorcerer,0.30,Zorko,1.62,Mount,0.30,0.48,0.37,3.08
Alchemist Onaxx of the Road,5608,Alchemist,0.38,Onaxx,1.32,Road,0.52,0.48,0.37,3.08
Alchemist Nadeem of the Road,7753,Alchemist,0.38,Nadeem,1.32,Road,0.52,0.48,0.37,3.08
Charmer Astrid of the Plains,9914,Charmer,1.20,Astrid,0.64,Plains,0.38,0.48,0.37,3.08
Alchemist Delilah of the Wild,6283,Alchemist,0.38,Delilah,1.24,Wild,0.60,0.48,0.37,3.08
Charmer Layla of the Tower,7385,Charmer,1.20,Layla,0.66,Tower,0.36,0.48,0.37,3.08
Hedge Wizard Kalo of the Capital,401,Hedge Wizard,0.47,Kalo,1.11,Capital,0.64,0.48,0.37,3.07
Thaumaturge Hagar of the Valley,3570,Thaumaturge,1.60,Hagar,0.31,Valley,0.30,0.48,0.37,3.07
Sorcerer Ramiz of the Astral Plane,2236,Sorcerer,0.30,Ramiz,1.17,Astral Plane,0.75,0.48,0.37,3.07
Ghost Eater Allistair of the Valley,4200,Ghost Eater,1.50,Allistair,0.41,Valley,0.30,0.48,0.37,3.07
Arch-Magician Althea of the Wild,8685,Arch-Magician,0.66,Althea,0.96,Wild,0.60,0.48,0.37,3.07
Illusionist Mina of the Valley,6622,Illusionist,1.19,Mina,0.73,Valley,0.30,0.48,0.37,3.07
Thaumaturge David of the Hall,9332,Thaumaturge,1.60,David,0.30,Hall,0.31,0.48,0.37,3.07
Sage Nikolas of the Temple,4278,Sage,0.66,Nikolas,0.57,Temple,0.98,0.48,0.37,3.07
Sage Eliphas of the Hall,2970,Sage,0.66,Eliphas,1.24,Hall,0.31,0.48,0.37,3.07
Sage Elena of the Marsh,7883,Sage,0.66,Elena,1.24,Marsh,0.31,0.48,0.37,3.07
Witch Delilah of the Hills,9101,Witch,0.61,Delilah,1.24,Hills,0.36,0.48,0.37,3.07
Alchemist Ravana of the Canyon,5700,Alchemist,0.38,Ravana,1.11,Canyon,0.72,0.48,0.37,3.07
Druid Darick of the Riviera,6610,Druid,0.54,Darick,1.00,Riviera,0.67,0.48,0.37,3.07
Magus Pezo of the Villa,8891,Magus,0.37,Pezo,1.32,Villa,0.53,0.48,0.37,3.07
Shaman Jerret of the Morning Star,2907,Shaman,0.57,Jerret,0.27,Morning Star,1.37,0.48,0.37,3.07
Mystic Wolfram of the Wold,2681,Mystic,1.15,Wolfram,0.50,Wold,0.55,0.48,0.37,3.07
Sage Zelda of the Plains,3943,Sage,0.66,Zelda,1.17,Plains,0.38,0.48,0.37,3.07
Battle Mage Luther of Elysium,3374,Battle Mage,0.30,Luther,1.00,Elysium,0.91,0.48,0.37,3.07
Battle Mage Brutus of the Sands,3180,Battle Mage,0.30,Brutus,0.84,Sands,1.07,0.48,0.37,3.07
Battle Mage Brutus of the Belfry,9483,Battle Mage,0.30,Brutus,0.84,Belfry,1.07,0.48,0.37,3.07
Shaman Chooki of Dreams,2715,Shaman,0.57,Chooki,0.81,Dreams,0.83,0.48,0.37,3.07
Hedge Wizard Herne of the Steppe,6184,Hedge Wizard,0.47,Herne,1.40,Steppe,0.33,0.48,0.37,3.07
Arcanist Tengu of the Heath,4112,Arcanist,0.69,Tengu,1.05,Heath,0.46,0.48,0.37,3.07
Alchemist Malthus of the Obelisk,2447,Alchemist,0.38,Malthus,0.84,Obelisk,0.98,0.48,0.37,3.07
Mystic Axel of the Villa,413,Mystic,1.15,Axel,0.53,Villa,0.53,0.48,0.37,3.06
Witch Marceline of the Wood,343,Witch,0.61,Marceline,1.40,Wood,0.19,0.48,0.37,3.06
Druid Talbot of the Mist,1871,Druid,0.54,Talbot,1.17,Mist,0.50,0.48,0.37,3.06
Artificer Sarah of the Hall,6988,Artificer,0.58,Sarah,1.32,Hall,0.31,0.48,0.37,3.06
Alchemist Hagatha of Arcadia,6754,Alchemist,0.38,Hagatha,1.11,Arcadia,0.71,0.48,0.37,3.06
Cleric Nicolas of the Mount,3326,Cleric,1.56,Nicolas,0.35,Mount,0.30,0.48,0.37,3.06
Ghost Eater Nicolas of the Tower,5662,Ghost Eater,1.50,Nicolas,0.35,Tower,0.36,0.48,0.37,3.06
Illusionist Ulysse of the Villa,4946,Illusionist,1.19,Ulysse,0.49,Villa,0.53,0.48,0.37,3.06
Adept Ramiz of the Wood,2032,Adept,0.84,Ramiz,1.17,Wood,0.19,0.48,0.37,3.06
Alchemist Talbot of the River,1653,Alchemist,0.38,Talbot,1.17,River,0.65,0.48,0.37,3.06
Charmer Jadis of the Wood,2073,Charmer,1.20,Jadis,0.81,Wood,0.19,0.48,0.37,3.06
Magus Lilith of the Wild,2357,Magus,0.37,Lilith,1.24,Wild,0.60,0.48,0.37,3.06
Runecaster Soran of the Steppe,5879,Runecaster,1.44,Soran,0.43,Steppe,0.33,0.48,0.37,3.06
Alchemist Izible of the Hall,1784,Alchemist,0.38,Izible,1.50,Hall,0.31,0.48,0.37,3.06
Hedge Wizard Basil of the Morning Star,9235,Hedge Wizard,0.47,Basil,0.36,Morning Star,1.37,0.48,0.37,3.06
Arch-Magician Artis of the Platonic Shadow,2234,Arch-Magician,0.66,Artis,0.38,Platonic Shadow,1.15,0.48,0.37,3.06
Adept Edge of the Mount,8645,Adept,0.84,Edge,1.05,Mount,0.30,0.48,0.37,3.06
Hedge Wizard Aslan of the Sands,2428,Hedge Wizard,0.47,Aslan,0.66,Sands,1.07,0.48,0.37,3.06
